public_id,internal_id,regime,status_bucket,doctor_health_estimate,doctor_recommendation,total_return_pct,apr_estimate,max_drawdown_pct,trade_count,fee_total,fee_pct_of_start,source_file
E810C440BF,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_9F35AA1766,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-4.189345,-7.03097,,572.172349,,challenger_champions.json
B7EF33B199,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_12BB4E3FCC,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-4.189345,-7.03097,,572.172349,,challenger_champions.json
949DFCFFB9,PMV3_BEAR_TREND_fee_churn_conservative_5E9E389E95,BEAR_TREND,CHALLENGER,,,-28.025,-6.675993,-9.705176,,787.180026,,challenger_champions.json
799426E7FA,PMV3_BEAR_TREND_fee_churn_balanced_37BF7B8566,BEAR_TREND,CHALLENGER,,,-28.025,-6.675993,-9.705176,,787.180026,,challenger_champions.json
EDE54C1470,PMV3_BEAR_TREND_fee_churn_aggressive_guarded_D7A7F7E84F,BEAR_TREND,CHALLENGER,,,-28.025,-6.675993,-9.705176,,787.180026,,challenger_champions.json
7C036BD43A,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_conservative_33ED888462,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-4.189345,-7.03097,,572.172349,,challenger_champions.json
4812B783AA,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_balanced_D923103802,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-4.189345,-7.03097,,572.172349,,challenger_champions.json
6DDB1C8C99,PMV3_SIDEWAYS_BULL_RANGE_fee_churn_aggressive_guarded_EBF5257483,SIDEWAYS_BULL_RANGE,CHALLENGER,,,-19.373866,-4.189345,-7.03097,,572.172349,,challenger_champions.json
1C00743BE0,PMV3_SIDEWAYS_BULL_RANGE_starter_008,SIDEWAYS_BULL_RANGE,RETIRED,DEAD,REJECT_OR_REBUILD,-19.373866,-12.193616,-20.407504,563.0,1609.15546,16.091555,retired_champions.json
1D5DF19CE3,PMV3_BEAR_TREND_starter_002,BEAR_TREND,RETIRED,DEAD,REJECT_OR_REBUILD,-28.025,-21.625445,-30.358111,1814.0,2699.969694,26.999697,retired_champions.json
